target	model_class	lead	n_train	n_features	artifact_size_kb	elapsed_sec	status	error
temperature	HGB	1	76248	46	776.9	4.19	ok	
temperature	HGB	2	76248	46	780.0	3.77	ok	
temperature	HGB	3	76248	46	780.2	3.42	ok	
temperature	HGB	4	76248	46	780.8	3.40	ok	
temperature	HGB	5	76248	46	780.3	3.36	ok	
temperature	HGB	6	76248	46	780.3	3.33	ok	
temperature	HGB	7	76248	46	780.9	3.46	ok	
temperature	HGB	8	76248	46	779.9	3.57	ok	
temperature	HGB	9	76248	46	779.0	3.65	ok	
temperature	HGB	10	76248	46	776.2	3.69	ok	
temperature	HGB	11	76248	46	777.8	3.65	ok	
temperature	HGB	12	76248	46	778.2	3.62	ok	
temperature	HGB	13	76248	46	777.4	3.61	ok	
temperature	HGB	14	76248	46	778.2	3.94	ok	
temperature	HGB	15	76248	46	777.6	3.70	ok	
temperature	HGB	16	76248	46	778.3	3.67	ok	
temperature	HGB	17	76248	46	777.3	3.71	ok	
temperature	HGB	18	76248	46	776.4	3.76	ok	
temperature	HGB	19	76248	46	778.7	3.67	ok	
temperature	HGB	20	76248	46	778.9	3.79	ok	
temperature	HGB	21	76248	46	778.3	3.69	ok	
temperature	HGB	22	76248	46	778.7	3.73	ok	
temperature	HGB	23	76248	46	777.9	3.79	ok	
temperature	HGB	24	76248	46	778.2	3.72	ok	
temperature	HGB	25	76248	46	779.1	3.76	ok	
temperature	HGB	26	76248	46	778.6	3.79	ok	
temperature	HGB	27	76248	46	776.6	3.66	ok	
temperature	HGB	28	76248	46	777.9	3.64	ok	
temperature	HGB	29	76248	46	777.4	3.60	ok	
temperature	HGB	30	76248	46	777.3	3.63	ok	
temperature	HGB	31	76248	46	776.3	3.65	ok	
temperature	HGB	32	76248	46	777.8	3.67	ok	
temperature	HGB	33	76248	46	775.3	3.77	ok	
temperature	HGB	34	76248	46	777.3	3.70	ok	
temperature	HGB	35	76248	46	778.2	4.16	ok	
temperature	HGB	36	76248	46	776.1	3.68	ok	
temperature	HGB	37	76248	46	776.8	3.70	ok	
temperature	HGB	38	76248	46	774.9	3.63	ok	
temperature	HGB	39	76248	46	775.2	3.69	ok	
temperature	HGB	40	76248	46	776.9	3.62	ok	
temperature	HGB	41	76248	46	773.8	3.67	ok	
temperature	HGB	42	76248	46	774.2	3.84	ok	
temperature	HGB	43	76248	46	776.8	3.70	ok	
temperature	HGB	44	76248	46	777.0	3.72	ok	
temperature	HGB	45	76248	46	776.8	3.77	ok	
temperature	HGB	46	76248	46	775.8	3.69	ok	
temperature	HGB	47	76248	46	777.5	3.68	ok	
temperature	HGB	48	76248	46	779.8	3.72	ok	
temperature	HGB	49	76248	46	776.3	3.76	ok	
temperature	HGB	50	76248	46	775.5	3.70	ok	
temperature	HGB	51	76248	46	776.9	4.97	ok	
temperature	HGB	52	76248	46	775.5	3.96	ok	
temperature	HGB	53	76248	46	777.7	3.73	ok	
temperature	HGB	54	76248	46	777.8	4.02	ok	
temperature	HGB	55	76248	46	776.8	5.44	ok	
temperature	HGB	56	76248	46	775.7	7.90	ok	
temperature	HGB	57	76248	46	777.2	4.20	ok	
temperature	HGB	58	76248	46	775.4	3.91	ok	
temperature	HGB	59	76248	46	774.9	4.32	ok	
temperature	HGB	60	76248	46	773.6	4.61	ok	
temperature	HGB	61	76248	46	774.2	4.23	ok	
temperature	HGB	62	76248	46	774.4	3.80	ok	
temperature	HGB	63	76248	46	774.6	3.90	ok	
temperature	HGB	64	76248	46	776.4	3.70	ok	
temperature	HGB	65	76248	46	775.8	3.85	ok	
temperature	HGB	66	76248	46	774.5	4.90	ok	
temperature	HGB	67	76248	46	775.9	3.76	ok	
temperature	HGB	68	76248	46	776.4	3.71	ok	
temperature	HGB	69	76248	46	777.1	3.81	ok	
temperature	HGB	70	76248	46	776.2	3.63	ok	
temperature	HGB	71	76248	46	777.8	3.64	ok	
temperature	HGB	72	76248	46	776.6	3.67	ok	
relative_humidity	HGB	1	76248	41	776.3	3.68	ok	
relative_humidity	HGB	2	76248	41	775.4	3.56	ok	
relative_humidity	HGB	3	76248	41	776.4	3.56	ok	
relative_humidity	HGB	4	76248	41	775.2	3.58	ok	
relative_humidity	HGB	5	76248	41	775.4	3.57	ok	
relative_humidity	HGB	6	76248	41	775.1	3.55	ok	
relative_humidity	HGB	7	76248	41	776.1	3.56	ok	
relative_humidity	HGB	8	76248	41	776.4	3.56	ok	
relative_humidity	HGB	9	76248	41	775.5	3.51	ok	
relative_humidity	HGB	10	76248	41	774.6	3.65	ok	
relative_humidity	HGB	11	76248	41	775.3	3.67	ok	
relative_humidity	HGB	12	76248	41	773.3	3.51	ok	
relative_humidity	HGB	13	76248	41	774.9	3.60	ok	
relative_humidity	HGB	14	76248	41	774.4	3.57	ok	
relative_humidity	HGB	15	76248	41	774.3	3.55	ok	
relative_humidity	HGB	16	76248	41	775.6	3.53	ok	
relative_humidity	HGB	17	76248	41	774.7	3.56	ok	
relative_humidity	HGB	18	76248	41	772.6	3.47	ok	
relative_humidity	HGB	19	76248	41	774.1	3.52	ok	
relative_humidity	HGB	20	76248	41	774.0	3.69	ok	
relative_humidity	HGB	21	76248	41	773.6	3.53	ok	
relative_humidity	HGB	22	76248	41	774.2	3.52	ok	
relative_humidity	HGB	23	76248	41	775.2	3.52	ok	
relative_humidity	HGB	24	76248	41	774.6	3.53	ok	
relative_humidity	HGB	25	76248	41	774.5	3.58	ok	
relative_humidity	HGB	26	76248	41	772.7	3.52	ok	
relative_humidity	HGB	27	76248	41	772.7	3.50	ok	
relative_humidity	HGB	28	76248	41	772.9	3.60	ok	
relative_humidity	HGB	29	76248	41	776.1	3.61	ok	
relative_humidity	HGB	30	76248	41	773.8	3.68	ok	
relative_humidity	HGB	31	76248	41	775.3	3.57	ok	
relative_humidity	HGB	32	76248	41	777.3	3.60	ok	
relative_humidity	HGB	33	76248	41	773.8	3.62	ok	
relative_humidity	HGB	34	76248	41	775.0	3.58	ok	
relative_humidity	HGB	35	76248	41	772.4	3.58	ok	
relative_humidity	HGB	36	76248	41	774.4	3.58	ok	
relative_humidity	HGB	37	76248	41	773.9	3.58	ok	
relative_humidity	HGB	38	76248	41	774.5	3.58	ok	
relative_humidity	HGB	39	76248	41	774.7	3.57	ok	
relative_humidity	HGB	40	76248	41	774.5	3.60	ok	
relative_humidity	HGB	41	76248	41	776.4	3.64	ok	
relative_humidity	HGB	42	76248	41	775.7	3.61	ok	
relative_humidity	HGB	43	76248	41	777.1	3.59	ok	
relative_humidity	HGB	44	76248	41	775.7	3.93	ok	
relative_humidity	HGB	45	76248	41	774.7	3.55	ok	
relative_humidity	HGB	46	76248	41	774.1	3.63	ok	
relative_humidity	HGB	47	76248	41	774.8	3.70	ok	
relative_humidity	HGB	48	76248	41	775.6	3.48	ok	
relative_humidity	HGB	49	76248	41	776.3	3.54	ok	
relative_humidity	HGB	50	76248	41	774.3	3.55	ok	
relative_humidity	HGB	51	76248	41	774.2	3.53	ok	
relative_humidity	HGB	52	76248	41	774.1	3.54	ok	
relative_humidity	HGB	53	76248	41	774.6	3.58	ok	
relative_humidity	HGB	54	76248	41	776.3	3.60	ok	
relative_humidity	HGB	55	76248	41	773.4	3.57	ok	
relative_humidity	HGB	56	76248	41	774.2	3.58	ok	
relative_humidity	HGB	57	76248	41	775.6	3.55	ok	
relative_humidity	HGB	58	76248	41	773.7	3.58	ok	
relative_humidity	HGB	59	76248	41	774.8	3.56	ok	
relative_humidity	HGB	60	76248	41	776.0	3.56	ok	
relative_humidity	HGB	61	76248	41	775.5	3.60	ok	
relative_humidity	HGB	62	76248	41	776.8	3.64	ok	
relative_humidity	HGB	63	76248	41	773.6	3.71	ok	
relative_humidity	HGB	64	76248	41	774.5	3.59	ok	
relative_humidity	HGB	65	76248	41	774.8	3.55	ok	
relative_humidity	HGB	66	76248	41	772.8	3.66	ok	
relative_humidity	HGB	67	76248	41	774.8	3.64	ok	
relative_humidity	HGB	68	76248	41	775.2	3.64	ok	
relative_humidity	HGB	69	76248	41	776.0	3.57	ok	
relative_humidity	HGB	70	76248	41	774.0	3.59	ok	
relative_humidity	HGB	71	76248	41	776.0	3.59	ok	
relative_humidity	HGB	72	76248	41	776.0	3.57	ok	
dew_point	HGB	1	76248	37	763.3	3.54	ok	
dew_point	HGB	2	76248	37	765.5	3.44	ok	
dew_point	HGB	3	76248	37	767.6	3.48	ok	
dew_point	HGB	4	76248	37	765.5	3.43	ok	
dew_point	HGB	5	76248	37	765.1	3.45	ok	
dew_point	HGB	6	76248	37	765.9	3.49	ok	
dew_point	HGB	7	76248	37	766.5	3.49	ok	
dew_point	HGB	8	76248	37	766.6	3.46	ok	
dew_point	HGB	9	76248	37	765.8	3.51	ok	
dew_point	HGB	10	76248	37	765.1	3.49	ok	
dew_point	HGB	11	76248	37	764.0	3.41	ok	
dew_point	HGB	12	76248	37	765.1	3.68	ok	
dew_point	HGB	13	76248	37	764.8	3.40	ok	
dew_point	HGB	14	76248	37	765.7	3.38	ok	
dew_point	HGB	15	76248	37	765.7	3.40	ok	
dew_point	HGB	16	76248	37	764.5	3.39	ok	
dew_point	HGB	17	76248	37	765.2	3.44	ok	
dew_point	HGB	18	76248	37	767.5	3.50	ok	
dew_point	HGB	19	76248	37	768.1	3.47	ok	
dew_point	HGB	20	76248	37	767.0	3.47	ok	
dew_point	HGB	21	76248	37	765.5	3.39	ok	
dew_point	HGB	22	76248	37	764.0	3.42	ok	
dew_point	HGB	23	76248	37	763.8	3.45	ok	
dew_point	HGB	24	76248	37	764.1	3.55	ok	
dew_point	HGB	25	76248	37	763.0	3.63	ok	
dew_point	HGB	26	76248	37	763.8	3.40	ok	
dew_point	HGB	27	76248	37	764.5	3.39	ok	
dew_point	HGB	28	76248	37	764.9	3.46	ok	
dew_point	HGB	29	76248	37	764.6	3.48	ok	
dew_point	HGB	30	76248	37	765.5	3.48	ok	
dew_point	HGB	31	76248	37	763.6	3.36	ok	
dew_point	HGB	32	76248	37	763.3	3.43	ok	
dew_point	HGB	33	76248	37	764.6	3.58	ok	
dew_point	HGB	34	76248	37	763.1	3.45	ok	
dew_point	HGB	35	76248	37	763.5	3.40	ok	
dew_point	HGB	36	76248	37	766.2	3.46	ok	
dew_point	HGB	37	76248	37	762.2	3.40	ok	
dew_point	HGB	38	76248	37	764.8	3.66	ok	
dew_point	HGB	39	76248	37	765.3	3.45	ok	
dew_point	HGB	40	76248	37	765.5	3.47	ok	
dew_point	HGB	41	76248	37	765.4	3.58	ok	
dew_point	HGB	42	76248	37	764.7	3.42	ok	
dew_point	HGB	43	76248	37	766.7	3.44	ok	
dew_point	HGB	44	76248	37	766.1	3.44	ok	
dew_point	HGB	45	76248	37	766.5	3.44	ok	
dew_point	HGB	46	76248	37	766.8	3.44	ok	
dew_point	HGB	47	76248	37	767.9	3.44	ok	
dew_point	HGB	48	76248	37	765.9	3.43	ok	
dew_point	HGB	49	76248	37	765.6	3.44	ok	
dew_point	HGB	50	76248	37	765.8	3.55	ok	
dew_point	HGB	51	76248	37	764.6	3.49	ok	
dew_point	HGB	52	76248	37	764.3	3.59	ok	
dew_point	HGB	53	76248	37	763.3	3.41	ok	
dew_point	HGB	54	76248	37	764.5	3.37	ok	
dew_point	HGB	55	76248	37	764.8	3.47	ok	
dew_point	HGB	56	76248	37	763.7	3.40	ok	
dew_point	HGB	57	76248	37	767.5	3.40	ok	
dew_point	HGB	58	76248	37	763.9	3.53	ok	
dew_point	HGB	59	76248	37	765.8	3.47	ok	
dew_point	HGB	60	76248	37	766.4	3.51	ok	
dew_point	HGB	61	76248	37	764.7	3.49	ok	
dew_point	HGB	62	76248	37	764.4	3.37	ok	
dew_point	HGB	63	76248	37	764.3	3.37	ok	
dew_point	HGB	64	76248	37	765.4	3.41	ok	
dew_point	HGB	65	76248	37	765.9	3.41	ok	
dew_point	HGB	66	76248	37	766.5	3.47	ok	
dew_point	HGB	67	76248	37	764.8	3.45	ok	
dew_point	HGB	68	76248	37	765.4	3.39	ok	
dew_point	HGB	69	76248	37	764.4	3.38	ok	
dew_point	HGB	70	76248	37	765.5	3.36	ok	
dew_point	HGB	71	76248	37	765.1	3.37	ok	
dew_point	HGB	72	76248	37	766.7	3.53	ok	
wind_speed	Ridge	1	76248	33	5.9	0.57	ok	
wind_speed	Ridge	2	76248	33	5.8	0.59	ok	
wind_speed	Ridge	3	76248	33	5.9	0.57	ok	
wind_speed	Ridge	4	76248	33	5.9	0.58	ok	
wind_speed	Ridge	5	76248	33	5.9	0.55	ok	
wind_speed	Ridge	6	76248	33	5.9	0.56	ok	
wind_speed	Ridge	7	76248	33	5.9	0.55	ok	
wind_speed	Ridge	8	76248	33	5.9	0.57	ok	
wind_speed	Ridge	9	76248	33	5.9	0.56	ok	
wind_speed	Ridge	10	76248	33	5.9	0.59	ok	
wind_speed	Ridge	11	76248	33	5.9	0.55	ok	
wind_speed	Ridge	12	76248	33	5.9	0.57	ok	
wind_speed	Ridge	13	76248	33	5.9	0.55	ok	
wind_speed	Ridge	14	76248	33	5.9	0.60	ok	
wind_speed	Ridge	15	76248	33	5.9	0.56	ok	
wind_speed	Ridge	16	76248	33	5.9	0.61	ok	
wind_speed	Ridge	17	76248	33	5.9	0.56	ok	
wind_speed	Ridge	18	76248	33	5.9	0.56	ok	
wind_speed	Ridge	19	76248	33	5.9	0.55	ok	
wind_speed	Ridge	20	76248	33	5.9	0.56	ok	
wind_speed	Ridge	21	76248	33	5.9	0.57	ok	
wind_speed	Ridge	22	76248	33	5.9	0.57	ok	
wind_speed	Ridge	23	76248	33	5.9	0.56	ok	
wind_speed	Ridge	24	76248	33	5.9	0.56	ok	
wind_speed	Ridge	25	76248	33	5.9	0.55	ok	
wind_speed	Ridge	26	76248	33	5.9	0.56	ok	
wind_speed	Ridge	27	76248	33	5.9	0.56	ok	
wind_speed	Ridge	28	76248	33	6.0	0.57	ok	
wind_speed	Ridge	29	76248	33	5.9	0.55	ok	
wind_speed	Ridge	30	76248	33	5.8	0.56	ok	
wind_speed	Ridge	31	76248	33	5.9	0.56	ok	
wind_speed	Ridge	32	76248	33	5.9	0.59	ok	
wind_speed	Ridge	33	76248	33	5.9	0.56	ok	
wind_speed	Ridge	34	76248	33	5.9	0.58	ok	
wind_speed	Ridge	35	76248	33	5.9	0.56	ok	
wind_speed	Ridge	36	76248	33	5.9	0.55	ok	
wind_speed	Ridge	37	76248	33	5.9	0.56	ok	
wind_speed	Ridge	38	76248	33	5.9	0.56	ok	
wind_speed	Ridge	39	76248	33	5.9	0.57	ok	
wind_speed	Ridge	40	76248	33	6.0	0.56	ok	
wind_speed	Ridge	41	76248	33	5.9	0.55	ok	
wind_speed	Ridge	42	76248	33	5.9	0.55	ok	
wind_speed	Ridge	43	76248	33	5.9	0.57	ok	
wind_speed	Ridge	44	76248	33	5.9	0.55	ok	
wind_speed	Ridge	45	76248	33	5.9	0.57	ok	
wind_speed	Ridge	46	76248	33	5.9	0.58	ok	
wind_speed	Ridge	47	76248	33	5.9	0.57	ok	
wind_speed	Ridge	48	76248	33	5.9	0.55	ok	
wind_speed	Ridge	49	76248	33	5.9	0.56	ok	
wind_speed	Ridge	50	76248	33	5.9	0.55	ok	
wind_speed	Ridge	51	76248	33	5.9	0.58	ok	
wind_speed	Ridge	52	76248	33	5.9	0.56	ok	
wind_speed	Ridge	53	76248	33	5.9	0.58	ok	
wind_speed	Ridge	54	76248	33	5.9	0.55	ok	
wind_speed	Ridge	55	76248	33	5.9	0.56	ok	
wind_speed	Ridge	56	76248	33	5.9	0.55	ok	
wind_speed	Ridge	57	76248	33	5.9	0.61	ok	
wind_speed	Ridge	58	76248	33	5.9	0.56	ok	
